snapshot_hour_utc,game_id,position,user_login,viewer_count,language,started_at
2026-09-01T05,27546,2,o_p_hacker,565,en,2026-08-31T22:21:58Z
2026-09-01T05,27546,3,rysiek,483,pl,2026-08-31T20:29:19Z
2026-09-01T05,624536948,1,bahiaqz,422,pt,2026-08-31T23:23:19Z
2026-09-01T05,624536948,2,bugs,317,en,2026-09-01T04:00:38Z
2026-09-01T05,624536948,3,gohannfps,98,pt,2026-09-01T04:15:51Z
2026-09-01T05,1129937420,1,willneff,2951,en,2026-08-31T23:31:25Z
2026-09-01T05,1129937420,2,thicctex,3,en,2026-09-01T00:52:07Z
2026-09-01T05,1129937420,3,strokediesel,2,en,2026-09-01T04:26:23Z
2026-09-01T05,30921,1,tawk,360,en,2026-09-01T01:26:37Z
2026-09-01T05,30921,2,elomarmaton,166,en,2026-09-01T01:17:33Z
2026-09-01T05,30921,3,bluscr3n,143,en,2026-09-01T03:12:33Z
2026-09-01T05,263490,1,finbeastmodeee,584,fi,2026-09-01T04:18:52Z
2026-09-01T05,263490,2,iriskpvp,270,en,2026-09-01T01:00:15Z
2026-09-01T05,263490,3,cava111,190,it,2026-08-31T19:37:34Z
2026-09-01T05,459931,1,triumphant,384,en,2026-08-31T23:46:34Z
2026-09-01T05,459931,2,flash,238,en,2026-09-01T01:08:15Z
2026-09-01T05,459931,3,tpapaslice,226,en,2026-08-31T20:38:30Z
2026-09-01T05,55453844,1,brawlpro,634,en,2026-09-01T00:16:04Z
2026-09-01T05,55453844,2,suzukinoriaki,553,ja,2026-09-01T02:54:15Z
2026-09-01T05,55453844,3,kawanochannn,429,ja,2026-09-01T04:39:10Z
2026-09-01T05,490655,1,j0beats,397,en,2026-08-31T18:04:30Z
2026-09-01T05,490655,2,keibrongameryt,311,es,2026-08-30T15:38:01Z
2026-09-01T05,490655,3,badgecollectordrops,279,en,2026-09-01T04:26:46Z
2026-09-01T05,543818421,1,tonton,1514,fr,2026-09-01T02:50:04Z
2026-09-01T05,543818421,2,dunc,390,en,2026-09-01T04:01:22Z
2026-09-01T05,543818421,3,buckfoozle,150,en,2026-09-01T02:49:18Z
2026-09-01T05,502829,1,r2cronus,985,ru,2026-08-30T20:38:01Z
2026-09-01T05,502829,2,r2onlineru,788,ru,2026-08-30T11:37:25Z
2026-09-01T05,502829,3,r2rage,95,ru,2026-08-31T12:53:53Z
2026-09-01T05,1081998272,1,oniimely,206,en,2026-09-01T02:24:37Z
2026-09-01T05,1081998272,2,whisqey,190,en,2026-09-01T00:39:24Z
2026-09-01T05,1081998272,3,alicekasuky,86,en,2026-08-30T18:36:11Z
2026-09-01T05,168648543,1,zwebackhd,492,en,2026-08-31T22:25:36Z
2026-09-01T05,168648543,2,rglqq,272,en,2026-08-31T21:34:50Z
2026-09-01T05,168648543,3,wolfbrink,168,en,2026-09-01T04:12:48Z
2026-09-01T05,1196356222,1,pge4,2140,en,2026-08-31T21:54:25Z
2026-09-01T05,1196356222,2,lifedestroyersan,5,en,2026-08-31T23:14:48Z
2026-09-01T05,1196356222,3,shudonnie,4,en,2026-09-01T00:01:24Z
2026-09-01T05,519291,1,kaise,1937,en,2026-09-01T01:03:02Z
2026-09-01T05,519291,2,lov3tera,23,en,2026-09-01T01:03:40Z
2026-09-01T05,519291,3,aricin,13,en,2026-09-01T04:04:09Z
2026-09-01T05,172843237,1,grimmi,2036,en,2026-09-01T01:29:43Z
2026-09-01T05,1282866981,1,aplus0v0,183,zh,2026-09-01T02:04:31Z
2026-09-01T05,1282866981,2,albralelie,175,en,2026-09-01T00:47:32Z
2026-09-01T05,1282866981,3,drewd0g,142,en,2026-09-01T03:03:33Z
2026-09-01T05,509508,1,niftski,1897,en,2026-09-01T00:41:27Z
2026-09-01T05,509508,2,supersonic_,43,en,2026-09-01T01:25:30Z
2026-09-01T05,509508,3,knuckl3s16,5,en,2026-09-01T04:00:24Z
2026-09-01T05,509667,1,amablitz,1600,es,2026-09-01T02:53:06Z
